Category,Description,Data.Carbohydrate,Data.Kilocalories,Data.Protein,Data.Fat.Total Lipid
SPICES,"SPICES,BAY LEAF",74.97,313,7.61,8.36
No Category,CARAWAY SEED,49.9,333,19.77,14.59
SPICES,"SPICES,CARDAMOM",68.47,311,10.76,6.7
No Category,CELERY SEED,41.35,392,18.07,25.27
CHERVIL,"CHERVIL,DRIED",49.1,237,23.2,3.9
No Category,CHILI POWDER,54.66,314,12.26,16.76
CINNAMON,"CINNAMON,GROUND",80.59,247,3.99,1.24
CLOVES,"CLOVES,GROUND",61.21,323,5.98,20.07
CORIANDER LEAF,"CORIANDER LEAF,DRIED",52.1,279,21.93,4.78
No Category,CORIANDER SEED,54.99,298,12.37,17.77
No Category,CUMIN SEED,44.24,375,17.81,22.27
No Category,CURRY POWDER,58.15,325,12.66,13.81
No Category,DILL SEED,55.17,305,15.98,14.54
DILL WEED,"DILL WEED,DRIED",55.82,253,19.96,4.36
No Category,FENNEL SEED,52.29,345,15.8,14.87
No Category,FENUGREEK SEED,58.35,323,23.0,6.41
No Category,GARLIC POWDER,72.71,332,16.8,0.76
GINGER,"GINGER,GROUND",70.79,347,9.12,5.95
MACE,"MACE,GROUND",50.5,475,6.71,32.38
MARJORAM,"MARJORAM,DRIED",60.56,271,12.66,7.04
MUSTARD SEED,"MUSTARD SEED,YELLOW",34.94,469,24.94,28.76
NUTMEG,"NUTMEG,GROUND",49.29,525,5.84,36.31
No Category,ONION POWDER,80.67,347,10.12,1.05
SPICES,"SPICES,OREGANO,DRIED",64.43,306,11.0,10.25
No Category,PAPRIKA,55.74,289,14.76,12.95
PARSLEY,"PARSLEY,DRIED",51.66,276,22.42,4.43
PEPPER,"PEPPER,BLACK",64.81,255,10.95,3.26
PEPPER,"PEPPER,RED OR CAYENNE",56.63,318,12.01,17.27
PEPPER,"PEPPER,WHITE",68.61,296,10.4,2.12
No Category,POPPY SEED,28.13,525,17.99,41.56
No Category,POULTRY SEASONING,65.59,307,9.59,7.53
No Category,PUMPKIN PIE SPICE,69.28,342,5.76,12.6
ROSEMARY,"ROSEMARY,DRIED",64.06,331,4.88,15.22
No Category,SAFFRON,65.37,310,11.43,5.85
SAGE,"SAGE,GROUND",60.73,315,10.63,12.75
SAVORY,"SAVORY,GROUND",68.73,272,6.73,5.91
SPICES,"SPICES,TARRAGON,DRIED",50.22,295,22.77,7.24
SPICES,"SPICES,THYME,DRIED",63.94,276,9.11,7.43
TURMERIC,"TURMERIC,GROUND",64.93,354,7.83,9.88
BASIL,"BASIL,FRESH",2.65,23,3.15,0.64
DILL WEED,"DILL WEED,FRSH",7.02,43,3.46,1.12
MUSTARD,"MUSTARD,PREPARED,YELLOW",5.33,67,4.37,4.01
SALT,"SALT,TABLE",0.0,0,0.0,0.0
VINEGAR,"VINEGAR,CIDER",0.93,21,0.0,0.0
THYME,"THYME,FRSH",24.45,101,5.56,1.68
No Category,VANILLA EXTRACT,12.65,288,0.06,0.06
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,ALCOHOL",2.41,237,0.05,0.0
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,NO ALCOHOL",14.4,56,0.03,0.0
VINEGAR,"VINEGAR,DISTILLED",0.04,18,0.0,0.0
